_id,Year,Province,Grade,Male,Female
632,2016.0,KPK,17,678,43
633,2016.0,KPK,16,603,23
634,2016.0,KPK,14,341,6
635,2016.0,KPK,11,254,6
636,2016.0,Balochistan,22,1,
637,2016.0,Balochistan,21,10,
638,2016.0,Balochistan,20,45,
639,2016.0,Balochistan,19,153,6
640,2016.0,Balochistan,18,487,9
641,2016.0,Balochistan,17,1631,50
642,2016.0,Balochistan,16,1115,27
643,2016.0,Balochistan,15,236,
644,2016.0,Balochistan,14,826,30
645,2016.0,Balochistan,13,32,
646,2016.0,Balochistan,12,250,11
647,2016.0,Balochistan,11,1860,67
648,2016.0,Balochistan,10,21,2
649,2016.0,Balochistan,9,465,25
650,2016.0,Balochistan,8,427,8
651,2016.0,Balochistan,7,271,
652,2016.0,Balochistan,6,2336,14
653,2016.0,Balochistan,5,2152,13
654,2016.0,Balochistan,4,920,4
655,2016.0,Balochistan,3,293,3
656,2016.0,Balochistan,2,3247,25
657,2016.0,Balochistan,1,6947,98
658,2016.0,Gilgit-Baltistan,20,1,
659,2016.0,Gilgit-Baltistan,19,12,
660,2016.0,Gilgit-Baltistan,18,33,2
661,2016.0,Gilgit-Baltistan,17,54,4
662,2016.0,Gilgit-Baltistan,16,100,6
663,2016.0,Gilgit-Baltistan,15,44,
664,2016.0,Gilgit-Baltistan,14,7,
665,2016.0,Gilgit-Baltistan,13,69,10
666,2016.0,Gilgit-Baltistan,11,45,
667,2016.0,Gilgit-Baltistan,10,51,1
668,2016.0,Gilgit-Baltistan,8,52,2
669,2016.0,Gilgit-Baltistan,7,1,10
670,2016.0,Gilgit-Baltistan,6,128,
671,2016.0,Gilgit-Baltistan,5,1,
672,2016.0,Gilgit-Baltistan,4,103,3
673,2016.0,Gilgit-Baltistan,3,31,
674,2016.0,Gilgit-Baltistan,2,5,
675,2016.0,Gilgit-Baltistan,1,95,
676,2017.0,Punjab,22,1,0
677,2017.0,Punjab,21,6,0
678,2017.0,Punjab,20,48,4
679,2017.0,Punjab,19,441,65
680,2017.0,Punjab,18,1493,198
681,2017.0,Punjab,17,5037,2162
682,2017.0,Punjab,16,3143,1139
683,2017.0,Punjab,15,432,38
684,2017.0,Punjab,14,3747,287
685,2017.0,Punjab,13,40,13
686,2017.0,Punjab,12,314,74
687,2017.0,Punjab,11,5154,1002
688,2017.0,Punjab,10,73,120
689,2017.0,Punjab,9,7007,1086
690,2017.0,Punjab,8,231,209
691,2017.0,Punjab,7,481,46
692,2017.0,Punjab,6,884,194
693,2017.0,Punjab,5,3299,1651
694,2017.0,Punjab,4,2721,74
695,2017.0,Punjab,3,671,51
696,2017.0,Punjab,2,3832,170
697,2017.0,Punjab,1,18513,2169
698,2017.0,Sindh,21,2,
699,2017.0,Sindh,20,8,0
700,2017.0,Sindh,19,87,39
701,2017.0,Sindh,18,206,96
702,2017.0,Sindh,17,438,134
703,2017.0,Sindh,16,400,93
